Primary failure domains and concrete culprits

Category	Typical root cause	Quick diagnostic
React-Flow configuration	draggable=false on node or global nodesDraggable={false}; custom nodeTypes object recreated each render, causing node remount → drag state lost; missing <ReactFlowProvider> wrapper.	Inspect props in React-DevTools; verify warning “new nodeTypes object” absent; console‐log node.draggable.
Position state not mutating	setNodes callback omitted during onNodeDrag so internal position update never persisted; local state wrapper returns same reference (shallow equality), React-Flow skips re-render.	Log inside onNodesChange; verify change events firing and nodes[i].position changing each frame.
Pointer events blocked	Parent element or CSS overlay (pointer-events:none or fixed div) intercepts mousemove; node remains under original transform.	Use Chrome “inspect element” while dragging → highlight layer; toggle “pointer-events” in dev tools.
CSS transform override	Custom class applies its own transform (e.g., Tailwind scale-95) that freezes React-Flow translation matrix; or inline style sets will-change: transform incorrectly.	Inspect computed styles of .react-flow__node during drag; confirm only React-Flow translate(X,Y) present.
Absolute-position wrapper	Additional wrapper div inside node contains the visual card, but React-Flow applies transform to outer container only; inner abs-pos element stays at 0,0 relative to node.	Check DOM hierarchy: if card has absolute top-0 left-0, remove or switch to relative layout.
Z-index / visibility	Node visually hidden under overlay, only ghost edge visible; user perceives no movement.	Temporarily set * { outline:1px solid red }; confirm node exists but underlaying overlay.
State immutability breach	Directly mutating node.position object before passing into setNodes; React sees same reference, skips update.	Clone object with spread { ...n, position:{...n.position} } before set; verify new reference in log.
Stale useCallback deps	onNodeDrag captures outdated getNodes because dependency array empty; positions logged change, but setNodes sees stale list.	Add getNodes to dependency array or read inside throttle callback.
Throttle / debounce too aggressive	onNodeDrag throttled at 200 ms → small drags show nothing; only final snap visible.	Reduce throttle to ≤ 30 ms or remove; observe if movement starts.
Custom drag logic interfering	Additional dragstart / mousemove listeners outside React-Flow prevent internal handlers from updating; e.g., library like react-use-gesture attached to same node.	Disable custom listeners; rely solely on React-Flow.
Animations cancelled	Framer Motion layout prop wraps node and aborts React-Flow transforms when dragging because motion component takes control of transform.	Remove motion wrapper or set drag=false on motion.div.
Browser hit-test	SVG or foreignObject overlay steals drag events; pointer moves but React-Flow thinks drag ended.	Enable React-Flow onNodeDragStop; ensure it fires only once.
Dev build vs prod build	Tree-shaking strips out useReactFlow side-effects in prod; different behaviour only after build.	Replicate issue in dev; if only in prod, inspect minified code for dead setNodes.
Virtualised canvas	You mounted React-Flow inside react-window; viewport re-mounts node during drag, loses transform.	Disable virtualisation during drag or move React-Flow outside virtualised list.
Strict mode double-render	In React 18 StrictMode, effect cleanup runs, cancelling internal drag subscription mid-gesture in dev only.	Remove <React.StrictMode> wrapper; test again.
ResizeObserver polyfill conflict	Third-party polyfill overrides ResizeObserver causing incorrect node bounding boxes → no movement.	Console warn often shows “ResizeObserver loop limit exceeded”; replace polyfill with native.

Three fastest checks
	1.	Log inside onNodesChange → if not firing during drag, configuration or event interception is wrong.
	2.	Temporarily strip all custom CSS classes from .react-flow__node → if movement appears, culprit is transform/position styling.
	3.	Remove throttle/debounce around onNodeDrag → if movement appears, timing filter was too coarse.

These cover >90 % of “node appears static until drop” reports.
